source_channel,video_title,comment_text,target,stance,sentiment,tone,topic,interpretation_problem,reason
CălinGeorgescu-CanalulOficial,Călin Georgescu - Pacea de la București ( IPJ - 25.08.2025 ),"Multă sănătate dl. Președinte Călin Georgescu. Noi mergem până la capăt și vă dorim să fiți acceptat măcar președinte de scară de bloc. Și să nu fugiți în Dubai, rămâneți alături de noi. 🇷🇴",Călin Georgescu,contra,negativ,sarcastic,politică,Referirea la 'președinte de scară de bloc' și 'Dubai' sugerează o ironie legată de ambițiile politice ale lui Călin Georgescu și posibila sa fugă din țară în caz de eșec.,
@CălinGeorgescu-CanalulOficial,Călin Georgescu - De ce vorbim despre Eminescu când ne e greu? ( 2026.01.15 ),"Un discurs care trebuia sa vina de la Cotroceni! Multumim, d_le Calin Georgescu!",Klaus Iohannis,contra,negativ,sarcastic,politică internă,"Comentariul sugerează că discursul lui Călin Georgescu ar fi trebuit să fie rostit de președintele Klaus Iohannis, implicând o critică la adresa acestuia și o laudă implicită pentru Georgescu. Tonul sarcastic este evident prin contrastul dintre cine ar fi trebuit să rostească discursul și cine l-a rostit.",
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",Autoritatile abilitate sa intervina!!! De aceea sunt platiti de noi! Multumim recorder!!❤,Autoritățile,contra,negativ,agresiv,Corupție/Inacțiune,"Comentariul este scurt și nu oferă context specific despre ce autorități sau ce intervenție este necesară. Referirea la 'recorder' sugerează că este o reacție la o investigație jurnalistică, dar fără a ști despre ce este vorba, interpretarea este limitată.",
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",In acest moment mai putem spune doar Dumnezeu sa ii apere pe cei care stau acolo sau trec pe acolo cu masina 😩,General public / People in a specific location,neutral,negative,worried / resigned,Safety / General well-being,The comment is vague about the specific location or situation that prompts this concern. The emoji suggests distress or worry.,
RecorderRomania,DOCUMENTAR RECORDER. Singuri,"E dureros.. e crunt.. simt vinovatie si recunostinta in acelasi timp pentru ca mie nu mi-a lipsit dragostea mamei si caldura familiei. Imi pare atat de rau ca nu toti au avut parte de asta ....cel mai tare doare ca ei traiesc cu traumele astea toata viata. Trecem pe langa oameni pe strada si in ignoranta noastra poate judecam cu superficialitate un gest, un cuvant urat pe care il auzim, dar nici prin minte nu ne trece ca omul acela altceva nu a vazut, nu a auzit.. sunt ingrozita de acest sistem bolnav care nu face nimic bun.. ""protectia copilului"".... ce-o mai fi si aia...Multumim, Recorder pentru ca ne puneti fata in fata cu o realitate de care nu suntem constienti!",Sistemul de protecție a copilului,contra,negativ,"serios, emoțional","Protecția copilului, traumele copiilor abandonați/abuzati","Comentariul exprimă o emoție puternică și o indignare față de un sistem perceput ca fiind defectuos. Nu există ambiguități majore, dar intensitatea sentimentelor poate fi remarcată.",
RecorderRomania,Lecție de curaj. Conferința care a zguduit justiția din România,Cite dosare ați judecat și nu ați recuperat nici un prejudiciu,Victor Ponta,contra,negativ,acuzator,justitie,"lipsa contextului specific (la ce dosare se refera, cine face acuzatia)",
turcescu111,"Frică, foame, sărăcie ","Totul duce către: Noua Ordine Mondială, pentru a subjuga întreaga omenire..... Ei, și prin Agenda 2030, carmuieste într-acolo..... Și da, vor să ne omoare 90% din populatie.... Da, așa este o 'crimă' mondială, al treilea război mondial.","Noua Ordine Mondială, Agenda 2030",contra,negativ,"alarmist, conspirativ","conspirații globale, control social","Comentariul se bazează pe teorii ale conspirației, fără a oferi dovezi concrete. Limbajul este exagerat și emoțional, sugerând o interpretare subiectivă și potențial irațională a evenimentelor globale.",
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”","Un hot corupt arogant si nesimtit, caruia nimeni nu-i face nimic! 😡 Este ingrozitor!","O persoană neidentificată, dar descrisă negativ",contra,negativ,agresiv,Corupție/Justiție,"Lipsa unei ținte specifice face ca mesajul să fie general, dar sentimentul este clar negativ.",
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"4:30 și încă 1% rămas pentru Crin Alcoolescu, să aibă și el acolo ceva săracul",Crin Antonescu,contra,negativ,sarcastic,politică electorală,"Referirea la 'Crin Alcoolescu' este o insultă și o aluzie la presupuse probleme cu alcoolul, menită să discrediteze.",
RecorderRomania,Investigație din interiorul rețelei care te învață cum să păcălești statul #shorts,Vă mai dau niște firme din Galați care au alți administratori dar cu foști patroni,"nedeterminat, posibil politicieni sau oameni de afaceri cu legături dubioase",neutru,neutru,informativ,corupție/afaceri dubioase,Comentariul este vag și nu oferă suficiente detalii pentru a identifica persoanele sau firmele specifice. Se bazează pe o presupunere a cunoașterii contextului de către cititor.,
