id,text,source_channel,channel_family,video_title,target_refined,stance_to_target,confidence,discourse_type,discourse_subtype,type_confidence
yt_joXkZDqGZQU_UgzFU0NMeTYppU_dHpd4AaABAg,"Dar de românii din Ucraina care și-au pierdut dreptul de a învăța în școli românești ați discutat? De ce nu ați discutat și despre preoții ortodocși români care au fost agresați de acest domn Zelinsky? Dar despre cum își recrutează domnul Zelinsky soldații,trimițându-i la moarte sigură? Despre spăgile pe care vameșii ucrainieni le cereau femeilor și copiilor să părăsească țara? Epstein files? Nu? Pedofilia la care a fost expus dumnealui cu domnul Trump nu? Ați omis? Mă gândeam eu!",NicusorDanRO,mainstream_actor,"🟢 Declarații de presă comune cu Președintele Ucrainei, Volodîmîr Zelenski, la Palatul Cotroceni",sua_occident,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_X3bwh1-9nUU_Ugzkb5UdoDsVooo_b2V4AaABAg,"Ținând cont de microfoane, unde sunt microfoanele PROTV, Antenele, TRV 1 s.a.? Desecretizarea, turul 2 înapoi, vreau sa votez liber, daca acest fapt împlinit, dus la lovitura de stat din decembrie 2024 nu este principal subiect intr.o tara democratica atunci CORUPTIA si PROSTIA ucide.",@CălinGeorgescu-CanalulOficial,sovereigntist,"Călin Georgescu - Lăcomia nu este putere ( 17.03.2026 la Poliția Buftea, ora 11 )",alegeri,unclear,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_M37Lar0c11g_UgxQUM1Vz9INIGxd0TJ4AaABAg,"Aveti incredere in cine.a juns sa fie in CSAT ?. NU VI SE PARE CEL PUTIN,,DUBIOASA VIZITA LUI ZELENSKI ,DUPA VIZTA LUI HARPALETE IN POLONIA."" CHIAR ASA INTAMPLATOARE SI DINTR O DATA ? IN CARE HARPALETE NU S A DUS IN UCRAINA ,,?",turcescu111,anti_system,"“O facem, dar prin batistă!”, de-asta a fost convocat CSAT",rusia,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_UDPyC0EuCLg_UgzPDvYXrj0qis3daY94AaABAg,"""Pe gratis"" .. sau nu. La simulare copiii mei nu au facut scoala (luni si marti) deoarece profesorii au fost implicati in simulari. Deci profesorii in loc sa vina la ore au participat la simulari deci nu ""pe gratis"". Din pc meu de vedere sacrificiul a fost facut de clasele mai mici. Dar m-am obisnuit sa vezi si sa prezinti lucrurile putin trunchiat. Asta e motivul dezabonarii.. pt ca te transformi in ceva ce nu erai .. pr audienta probabil. Numai bine!",StareaNatiei,investigativ,"De ce ajungem să dăm vina pe oricine, mai puțin pe adevărații responsabili? | Starea Nației 19.03.26",rusia,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_6_Hc2S02Duw_UgwRkTZLRtfW1ljXoWl4AaABAg,Ce aveti bă cu bietul om? Tot nu intelegeti ca Macron e dirijorul?😮,NicusorDanRO,mainstream_actor,🟢 LIVE Declarație de presă la finalul ședinței Consiliului Suprem de Apărare a Țării,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_6_Hc2S02Duw_UgzsSu-FvWam0WTNErd4AaABAg,"De ce l-or chinui pe asta nu pot sa inteleg, alta sluga mai vie nu gaseau ?",NicusorDanRO,mainstream_actor,🟢 LIVE Declarație de presă la finalul ședinței Consiliului Suprem de Apărare a Țării,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_ZAJeeVgVvYc_UgyIID9bjHIQtj8Ddyp4AaABAg,"O interactiune foarte buna! Lumea educata incearca sa faca fata valului de ura din societate, dezvoltata si amplificata de cei care nu ne-au vrut niciodata binele..",NicusorDanRO,mainstream_actor,🟢 LIVE Participare la manifestările prilejuite de Ziua Unirii Principatelor Române de la Focșani,nicusor_dan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_qkGhsJFft00_Ugx92UxyhOpyG68UR1l4AaABAg,"Pandemia, a fost doar testul care a evidentiat intentiile partilor participante. Sa fim seriosi, nu a fost chiar atat de grava, daca ar fi murit cel putin 10% din populatiile implicate, ca la gripa spaniola din primul razboi mondial, atunci se putea justifica masurile financiare care s-au luat. Acum s-au aruncat bani catre toata lumea, curatenia economica nu s-a facut si acum avem de suportat consecintele. Se puteau canaliza banii catre cei care au intr-adevar nevoie si restul sa joace realitatea economica data, in asa fel ca cei care produceau vorbe dar nu venit palpabil in economie sa fie eliminati din start, spre binele celor ramasi activi pe piata.",digi24hd56,mainstream,În fața ta cu Emil Hurezeanu: „Ar fi un coșmar pentru Trump și întreaga lume”,rusia,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_6_Hc2S02Duw_UgzLMl1PCGbFIpzqTNJ4AaABAg,"Nu ai permisiunea noastra sa ne bagi in razboi!!! Lasa-ne cu ''defensiv'', ca nu sintem retarzi. Daca aduc aici americanii echipamente, indiferent de ce natura sint ele, ne fac tinta asa cum au fost considerate tarile de unde tocmai fug romanii inapoi in Romania.",NicusorDanRO,mainstream_actor,🟢 LIVE Declarație de presă la finalul ședinței Consiliului Suprem de Apărare a Țării,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_6_Hc2S02Duw_UgzEs0j5KEZIutfA-at4AaABAg,"De data asta te-au lasat generalii sa vorbesti. Apoi, dupa ce vor incepe bombardamentele ... nu, din motive de securitate, desigur. Dar totul este bine, cum trebuie. Sfantul Arsenie Boca a profetit ca Bucurestiul va fi bombardat din nou. Cei care fac profetii, nu analizeaza, nu isi spun opinia. Spun ceea ce, prin mecanisme dincolo de intelegere, vad. In schema mare a lucrurilor, va puneti iar in slujba Celui Rau. Intreaba-o pe Mirabela despre ce ti-am scris aici. Prin ce ai facut azi, ai dat sarutul lui Iuda. Deci vei avea soarta lui.",NicusorDanRO,mainstream_actor,🟢 LIVE Declarație de presă la finalul ședinței Consiliului Suprem de Apărare a Țării,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
