source_channel,video_title,comment_text,target,stance,sentiment,tone,topic,interpretation_problem,reason
CălinGeorgescu-CanalulOficial,Călin Georgescu - Pacea de la București ( IPJ - 25.08.2025 ),"Multă sănătate dl. Președinte Călin Georgescu. Noi mergem până la capăt și vă dorim să fiți acceptat măcar președinte de scară de bloc. Și să nu fugiți în Dubai, rămâneți alături de noi. 🇷🇴",Călin Georgescu,contra,negativ,sarcastic,politică,Nu există probleme semnificative de interpretare. Comentariul este clar în exprimarea sa.,
@CălinGeorgescu-CanalulOficial,Călin Georgescu - De ce vorbim despre Eminescu când ne e greu? ( 2026.01.15 ),"Un discurs care trebuia sa vina de la Cotroceni! Multumim, d_le Calin Georgescu!","Discursul politic, posibil al unui politician sau al unei instituții (Cotroceni)",Pro,Pozitiv,Apreciativ,Politică,Nu există probleme semnificative de interpretare. Comentariul exprimă apreciere pentru un discurs și sugerează că ar fi trebuit să vină de la o instituție specifică (Cotroceni).,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",Autoritatile abilitate sa intervina!!! De aceea sunt platiti de noi! Multumim recorder!!❤,Autoritățile,Contra,Negativ,Agresiv,Guvernare,Nu,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",In acest moment mai putem spune doar Dumnezeu sa ii apere pe cei care stau acolo sau trec pe acolo cu masina 😩,Persoanele care se află sau trec printr-un anumit loc (probabil un loc periculos sau problematic),"Exprimă îngrijorare și o lipsă de speranță în soluții umane, apelând la o intervenție divină.",Negativ,"Disperat, resemnat, invocator","Siguranța, protecția, situații periculoase","Nu este clar la ce 'acolo' se referă comentariul, contextul specific al locului fiind necunoscut. De asemenea, motivul pentru care este necesară protecția divină nu este explicitat.",
RecorderRomania,DOCUMENTAR RECORDER. Singuri,"E dureros.. e crunt.. simt vinovatie si recunostinta in acelasi timp pentru ca mie nu mi-a lipsit dragostea mamei si caldura familiei. Imi pare atat de rau ca nu toti au avut parte de asta ....cel mai tare doare ca ei traiesc cu traumele astea toata viata. Trecem pe langa oameni pe strada si in ignoranta noastra poate judecam cu superficialitate un gest, un cuvant urat pe care il auzim, dar nici prin minte nu ne trece ca omul acela altceva nu a vazut, nu a auzit.. sunt ingrozita de acest sistem bolnav care nu face nimic bun.. ""protectia copilului"".... ce-o mai fi si aia...Multumim, Recorder pentru ca ne puneti fata in fata cu o realitate de care nu suntem constienti!","Sistemul de protecție a copilului, societatea în general",Contra,Negativ,"Empatic, critic, indignat","Protecția copilului, traumele din copilărie, sistemul social",Nu există elemente care să facă dificilă interpretarea comentariului. Limbajul este direct și emoțional.,
RecorderRomania,Lecție de curaj. Conferința care a zguduit justiția din România,Cite dosare ați judecat și nu ați recuperat nici un prejudiciu,Judecători/Sistemul judiciar,Contra,Negativ,Acuzator,Justiție,Nu există probleme majore de interpretare. Comentariul este direct și acuzator.,
turcescu111,"Frică, foame, sărăcie ","Totul duce către: Noua Ordine Mondială, pentru a subjuga întreaga omenire..... Ei, și prin Agenda 2030, carmuieste într-acolo..... Și da, vor să ne omoare 90% din populatie.... Da, așa este o 'crimă' mondială, al treilea război mondial.","Noua Ordine Mondială, Agenda 2030",contra,negativ,"alarmist, conspirativ","politică, guvernare mondială, demografie","Comentariul se bazează pe teorii ale conspirației nefondate, prezentate ca fapte. Lipsa de dovezi concrete și afirmațiile extreme fac dificilă o interpretare obiectivă dincolo de perspectiva autorului.",
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”","Un hot corupt arogant si nesimtit, caruia nimeni nu-i face nimic! 😡 Este ingrozitor!",Un politician sau o persoană publică percepută ca fiind coruptă și arogantă.,Contra,Negativ,"Agresiv, indignat","Corupție, guvernare, justiție",Nu există probleme majore de interpretare. Comentariul este direct și exprimă o opinie clară.,
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"4:30 și încă 1% rămas pentru Crin Alcoolescu, să aibă și el acolo ceva săracul",Crin Antonescu,contra,negativ,sarcastic,politică,Nu există probleme de interpretare.,
RecorderRomania,Investigație din interiorul rețelei care te învață cum să păcălești statul #shorts,Vă mai dau niște firme din Galați care au alți administratori dar cu foști patroni,Firme din Galați și administratorii/foștii patroni ai acestora,"Neutru, dar cu o sugestie implicită de investigație sau suspiciune",Neutru,"Informativ, cu o nuanță de curiozitate sau suspiciune","Afaceri/Economie, Corupție (implicit)","Comentariul este scurt și nu oferă context. Sugestia de a oferi 'niște firme' și menționarea 'foștilor patroni' implică o legătură sau o posibilă problemă (evaziune fiscală, spălare de bani, etc.), dar aceasta nu este explicită. Lipsa detaliilor face dificilă o interpretare definitivă a intenției.",
