source_channel,video_title,comment_text,target,stance,sentiment,tone,topic,interpretation_problem,reason
CălinGeorgescu-CanalulOficial,Călin Georgescu - Pacea de la București ( IPJ - 25.08.2025 ),"Multă sănătate dl. Președinte Călin Georgescu. Noi mergem până la capăt și vă dorim să fiți acceptat măcar președinte de scară de bloc. Și să nu fugiți în Dubai, rămâneți alături de noi. 🇷🇴",Călin Georgescu,contra,negativ,sarcastic,Alegerea prezidențială / Calificările lui Călin Georgescu,sarcasm,
@CălinGeorgescu-CanalulOficial,Călin Georgescu - De ce vorbim despre Eminescu când ne e greu? ( 2026.01.15 ),"Un discurs care trebuia sa vina de la Cotroceni! Multumim, d_le Calin Georgescu!",Călin Georgescu,pro,pozitiv,informativ,Aprecierea unui discurs,none,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",Autoritatile abilitate sa intervina!!! De aceea sunt platiti de noi! Multumim recorder!!❤,Autoritățile,contra,negativ,emotional,Intervenția autorităților,none,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”",In acest moment mai putem spune doar Dumnezeu sa ii apere pe cei care stau acolo sau trec pe acolo cu masina 😩,persoanele care se află în/trec prin locația menționată,neutru,negativ,emotional,siguranța/situația precară dintr-o anumită locație,none,
RecorderRomania,DOCUMENTAR RECORDER. Singuri,"E dureros.. e crunt.. simt vinovatie si recunostinta in acelasi timp pentru ca mie nu mi-a lipsit dragostea mamei si caldura familiei. Imi pare atat de rau ca nu toti au avut parte de asta ....cel mai tare doare ca ei traiesc cu traumele astea toata viata. Trecem pe langa oameni pe strada si in ignoranta noastra poate judecam cu superficialitate un gest, un cuvant urat pe care il auzim, dar nici prin minte nu ne trece ca omul acela altceva nu a vazut, nu a auzit.. sunt ingrozita de acest sistem bolnav care nu face nimic bun.. ""protectia copilului"".... ce-o mai fi si aia...Multumim, Recorder pentru ca ne puneti fata in fata cu o realitate de care nu suntem constienti!","sistemul de protecție a copilului, societatea",contra,negativ,emoțional,traumele copiilor neglijați și eșecul sistemului de protecție a copilului,none,
RecorderRomania,Lecție de curaj. Conferința care a zguduit justiția din România,Cite dosare ați judecat și nu ați recuperat nici un prejudiciu,judecători/sistemul judiciar,contra,negativ,acuzator,ineficiența sistemului judiciar în recuperarea prejudiciilor,none,
turcescu111,"Frică, foame, sărăcie ","Totul duce către: Noua Ordine Mondială, pentru a subjuga întreaga omenire..... Ei, și prin Agenda 2030, carmuieste într-acolo..... Și da, vor să ne omoare 90% din populatie.... Da, așa este o 'crimă' mondială, al treilea război mondial.","Noua Ordine Mondială, Agenda 2030",contra,negativ,conspirativ,Teorii ale conspirației despre controlul global și depopulare,none,
RecorderRomania,"Primarul Negoiță a construit șosele peste magistralele de gaz. „La o explozie, nu mai rămâne nimic!”","Un hot corupt arogant si nesimtit, caruia nimeni nu-i face nimic! 😡 Este ingrozitor!",necunoscut,contra,negativ,agresiv,coruptie si impunitate,none,
RecorderRomania,Reportaj Recorder în noaptea alegerilor: Un președinte peste mai multe Românii,"4:30 și încă 1% rămas pentru Crin Alcoolescu, să aibă și el acolo ceva săracul",Crin Antonescu,contra,negativ,sarcastic,Performanța electorală a lui Crin Antonescu,none,
RecorderRomania,Investigație din interiorul rețelei care te învață cum să păcălești statul #shorts,Vă mai dau niște firme din Galați care au alți administratori dar cu foști patroni,firme din Galați,neutru,neutru,informativ,afaceri și administrație,none,
